protocol,block_date,symbol,TTL
renzo,2023-12-11,WETH,0
renzo,2023-12-11,wBETH,0
renzo,2023-12-11,stETH,0
renzo,2023-12-12,WETH,0
renzo,2023-12-12,wBETH,0
renzo,2023-12-12,stETH,0
renzo,2023-12-13,WETH,104.11
renzo,2023-12-13,wBETH,104.11
renzo,2023-12-13,stETH,104.11
renzo,2023-12-14,WETH,110.82
renzo,2023-12-14,wBETH,110.82
renzo,2023-12-14,stETH,110.82
renzo,2023-12-15,WETH,193.54
renzo,2023-12-15,wBETH,193.54
renzo,2023-12-15,stETH,193.54
renzo,2023-12-16,WETH,276.03
renzo,2023-12-16,wBETH,276.03
renzo,2023-12-16,stETH,276.03
renzo,2023-12-17,WETH,471.975
renzo,2023-12-17,wBETH,471.975
renzo,2023-12-17,stETH,471.975
renzo,2023-12-18,WETH,858.4243
renzo,2023-12-18,wBETH,858.4243
renzo,2023-12-18,stETH,858.4243
renzo,2023-12-19,WETH,1328.02258
renzo,2023-12-19,wBETH,1328.02258
renzo,2023-12-19,stETH,1328.02258
renzo,2023-12-20,WETH,1429.3266
renzo,2023-12-20,wBETH,1429.3266
renzo,2023-12-20,stETH,1429.3266
renzo,2023-12-21,WETH,1561.8617
renzo,2023-12-21,wBETH,1561.8617
renzo,2023-12-21,stETH,1561.8617
renzo,2023-12-22,WETH,1608.19274
renzo,2023-12-22,wBETH,1608.19274
renzo,2023-12-22,stETH,1608.19274
renzo,2023-12-23,WETH,1688.81014
renzo,2023-12-23,wBETH,1688.81014
renzo,2023-12-23,stETH,1688.81014
renzo,2023-12-24,WETH,2048.60984
renzo,2023-12-24,wBETH,2048.60984
renzo,2023-12-24,stETH,2048.60984
renzo,2023-12-25,WETH,3054.59064
renzo,2023-12-25,wBETH,3054.59064
renzo,2023-12-25,stETH,3054.59064
renzo,2023-12-26,WETH,3312.59744
renzo,2023-12-26,wBETH,3312.59744
renzo,2023-12-26,stETH,3312.59744
renzo,2023-12-27,WETH,3470.94814
renzo,2023-12-27,wBETH,3470.94814
renzo,2023-12-27,stETH,3470.94814
renzo,2023-12-28,WETH,4146.35034
renzo,2023-12-28,wBETH,4146.35034
renzo,2023-12-28,stETH,4146.35034
renzo,2023-12-29,WETH,4236.52834
renzo,2023-12-29,wBETH,4236.52834
renzo,2023-12-29,stETH,4236.52834
renzo,2023-12-30,WETH,4271.09252
renzo,2023-12-30,wBETH,4271.09252
renzo,2023-12-30,stETH,4271.09252
renzo,2023-12-31,WETH,4305.1463
renzo,2023-12-31,wBETH,4305.1463
renzo,2023-12-31,stETH,4305.1463
renzo,2024-01-01,WETH,4410.7304
renzo,2024-01-01,wBETH,4410.7304
renzo,2024-01-01,stETH,4410.7304
renzo,2024-01-02,WETH,5198.57691
renzo,2024-01-02,wBETH,5198.57691
renzo,2024-01-02,stETH,5198.57691
renzo,2024-01-03,WETH,5252.82645
renzo,2024-01-03,wBETH,5252.82645
renzo,2024-01-03,stETH,5252.82645
renzo,2024-01-04,WETH,6691.63372
renzo,2024-01-04,wBETH,6691.63372
renzo,2024-01-04,stETH,6691.63372
renzo,2024-01-05,WETH,7802.98307
renzo,2024-01-05,wBETH,7802.98307
renzo,2024-01-05,stETH,7802.98307
renzo,2024-01-06,WETH,8326.30905
renzo,2024-01-06,wBETH,8326.30905
renzo,2024-01-06,stETH,8326.30905
renzo,2024-01-07,WETH,8598.77215
renzo,2024-01-07,wBETH,8598.77215
renzo,2024-01-07,stETH,8598.77215
renzo,2024-01-08,WETH,9654.43663
renzo,2024-01-08,wBETH,9654.43663
renzo,2024-01-08,stETH,9654.43663
renzo,2024-01-09,WETH,10084.35554
renzo,2024-01-09,wBETH,10084.35554
renzo,2024-01-09,stETH,10084.35554
renzo,2024-01-10,WETH,10887.14434
renzo,2024-01-10,wBETH,10887.14434
renzo,2024-01-10,stETH,10887.14434
renzo,2024-01-11,WETH,11835.40808
renzo,2024-01-11,wBETH,11835.40808
renzo,2024-01-11,stETH,11835.40808
renzo,2024-01-12,WETH,12556.47393
renzo,2024-01-12,wBETH,12556.47393
renzo,2024-01-12,stETH,12556.47393
renzo,2024-01-13,WETH,12894.26052
renzo,2024-01-13,wBETH,12894.26052
renzo,2024-01-13,stETH,12894.26052
renzo,2024-01-14,WETH,13663.51602
renzo,2024-01-14,wBETH,13663.51602
renzo,2024-01-14,stETH,13663.51602
renzo,2024-01-15,WETH,14646.10757
renzo,2024-01-15,wBETH,14646.10757
renzo,2024-01-15,stETH,14646.10757
renzo,2024-01-16,WETH,29759.86308
renzo,2024-01-16,wBETH,29759.86308
renzo,2024-01-16,stETH,29759.86308
renzo,2024-01-17,WETH,33917.85516
renzo,2024-01-17,wBETH,33917.85516
renzo,2024-01-17,stETH,33917.85516
renzo,2024-01-18,WETH,39021.23585
renzo,2024-01-18,wBETH,39021.23585
renzo,2024-01-18,stETH,39021.23585
renzo,2024-01-19,WETH,40745.01568
renzo,2024-01-19,wBETH,40745.01568
renzo,2024-01-19,stETH,40745.01568
renzo,2024-01-20,WETH,42016.67663
renzo,2024-01-20,wBETH,42016.67663
renzo,2024-01-20,stETH,42016.67663
renzo,2024-01-21,WETH,50597.47711
renzo,2024-01-21,wBETH,50597.47711
renzo,2024-01-21,stETH,50597.47711
renzo,2024-01-22,WETH,51634.96919
renzo,2024-01-22,wBETH,51634.96919
renzo,2024-01-22,stETH,51634.96919
renzo,2024-01-23,WETH,52743.91105
renzo,2024-01-23,wBETH,52743.91105
renzo,2024-01-23,stETH,52743.91105
renzo,2024-01-24,WETH,54345.33196
renzo,2024-01-24,wBETH,54345.33196
renzo,2024-01-24,stETH,54345.33196
renzo,2024-01-25,WETH,55974.02767
renzo,2024-01-25,wBETH,55974.02767
renzo,2024-01-25,stETH,55974.02767
renzo,2024-01-26,WETH,60024.92732
renzo,2024-01-26,wBETH,60024.92732
renzo,2024-01-26,stETH,60024.92732
renzo,2024-01-27,WETH,61336.18133
renzo,2024-01-27,wBETH,61336.18133
renzo,2024-01-27,stETH,61336.18133
renzo,2024-01-28,WETH,64414.24391
renzo,2024-01-28,wBETH,64414.24391
renzo,2024-01-28,stETH,64414.24391
renzo,2024-01-29,WETH,66452.62183
renzo,2024-01-29,wBETH,66452.62183
renzo,2024-01-29,stETH,66452.62183
renzo,2024-01-30,WETH,68236.25369
renzo,2024-01-30,wBETH,68236.25369
renzo,2024-01-30,stETH,68236.25369
renzo,2024-01-31,WETH,72102.47156
renzo,2024-01-31,wBETH,72102.47156
renzo,2024-01-31,stETH,72102.47156
renzo,2024-02-01,WETH,73843.28344
renzo,2024-02-01,wBETH,73843.28344
renzo,2024-02-01,stETH,73843.28344
renzo,2024-02-02,WETH,76213.72016
renzo,2024-02-02,wBETH,76213.72016
renzo,2024-02-02,stETH,76213.72016
renzo,2024-02-03,WETH,77658.77675
renzo,2024-02-03,wBETH,77658.77675
renzo,2024-02-03,stETH,77658.77675
renzo,2024-02-04,WETH,80329.41002
renzo,2024-02-04,wBETH,80329.41002
renzo,2024-02-04,stETH,80329.41002
renzo,2024-02-05,WETH,87585.58573
renzo,2024-02-05,wBETH,87585.58573
renzo,2024-02-05,stETH,87585.58573
renzo,2024-02-06,WETH,92096.22737
renzo,2024-02-06,wBETH,92096.22737
renzo,2024-02-06,stETH,92096.22737
renzo,2024-02-07,WETH,97755.99662
renzo,2024-02-07,wBETH,97755.99662
renzo,2024-02-07,stETH,97755.99662
renzo,2024-02-08,WETH,102825.8451
renzo,2024-02-08,wBETH,102825.8451
renzo,2024-02-08,stETH,102825.8451
renzo,2024-02-09,WETH,104214.0621
renzo,2024-02-09,wBETH,104214.0621
renzo,2024-02-09,stETH,104214.0621
renzo,2024-02-10,WETH,105188.6714
renzo,2024-02-10,wBETH,105188.6714
renzo,2024-02-10,stETH,105188.6714
renzo,2024-02-11,WETH,107479.0601
renzo,2024-02-11,wBETH,107479.0601
renzo,2024-02-11,stETH,107479.0601
renzo,2024-02-12,WETH,108949.9003
renzo,2024-02-12,wBETH,108949.9003
renzo,2024-02-12,stETH,108949.9003
renzo,2024-02-13,WETH,111609.506
renzo,2024-02-13,wBETH,111609.506
renzo,2024-02-13,stETH,111609.506
renzo,2024-02-14,WETH,113583.9325
renzo,2024-02-14,wBETH,113583.9325
renzo,2024-02-14,stETH,113583.9325
renzo,2024-02-15,WETH,114609.4787
renzo,2024-02-15,wBETH,114609.4787
renzo,2024-02-15,stETH,114609.4787
renzo,2024-02-16,WETH,115240.6149
renzo,2024-02-16,wBETH,115240.6149
renzo,2024-02-16,stETH,115240.6149
renzo,2024-02-17,WETH,116006.4303
renzo,2024-02-17,wBETH,116006.4303
renzo,2024-02-17,stETH,116006.4303
renzo,2024-02-18,WETH,117656.8158
renzo,2024-02-18,wBETH,117656.8158
renzo,2024-02-18,stETH,117656.8158
renzo,2024-02-19,WETH,120696.4062
renzo,2024-02-19,wBETH,120696.4062
renzo,2024-02-19,stETH,120696.4062
renzo,2024-02-20,WETH,122881.9006
renzo,2024-02-20,wBETH,122881.9006
